llm,n_shots,accuracy
phi3:3.8b,0,0.24242424242424243
phi3:3.8b,1,0.43137254901960786
phi3:3.8b,2,0.6470588235294118
gemma3:4b,0,0.48128342245989303
gemma3:4b,1,0.5650623885918004
gemma3:4b,2,0.7237076648841355
llama3.2:3b,0,0.42245989304812837
llama3.2:3b,1,0.5614973262032086
llama3.2:3b,2,0.6934046345811051
